Aamer Sohail
AB de Villiers
Adam Gilchrist
Ajinkya Rahane
Alastair Cook
Alistair Cook
Anil Kumble
Andrew Flintoff
Aaron Finch
Ashish Nehra
Babar Azam
Brett Lee
Brian Lara
Brian McMillan
Chris Cairns
Chris Gayle
Chaminda Vaas
Cheteshwar Pujara
Dale Steyn
David Miller
David Warner
Deepak Chahar
Dilip Vengsarkar
Dinesh Karthik
Don Bradman
Dwayne Bravo
Fakhar Zaman
Faf du Plessis
Glenn Maxwell
Graeme Smith
Harbhajan Singh
Hardik Pandya
Hasan Ali
Herschelle Gibbs
Imran Khan
Imam-ul-Haq
Ian Chappell
Inzamam-ul-Haq
Irfan Pathan
Ishant Sharma
Ishan Kishan
Jacques Kallis
Jacques Rudolph
James Anderson
Jasprit Bumrah
Javed Miandad
K L Rahul
Kagiso Rabada
Kapil Dev
Kane Williamson
Kevin Pietersen
Kieron Pollard
KL Rahul
Kuldeep Yadav
Kumar Sangakkara
Kumar Sangakkara
Lasith Malinga
Justin Langer
Mahela Jayawardene
Mark Waugh
Matthew Hayden
Mayank Agarwal
Michael Clarke
Misbah-ul-Haq
Mitchell Johnson
Mitchell Marsh
Mitchell Starc
Mohammad Amir
Mohammad Hafeez
Mohammed Azharuddin
Mohammed Shami
Mohinder Amarnath
Morne Morkel
MS Dhoni
Muttia Muralitharan
Nathan Astle
Navdeep Saini
Paul Collingwood
Quinton de Kock
Rahul Dravid
Rahul Dravid
Rashid Khan
Ravi Shastri
Ravichandran Ashwin
Ravindra Jadeja
R Ashwin
Ricky Ponting
Ricky Ponting
Rishabh Pant
Rohit Sharma
Rohit Sharma
Rohit Sharma
Saeed Anwar
Sanath Jayasuriya
Sachin Tendulkar
Sachin Tendulkar
Saeed Anwar
Shaheen Afridi
Shahid Afridi
Shaun Pollock
Shane Warne
Shane Watson
Shardul Thakur
Shahid Afridi
Shikhar Dhawan
Shikhar Dhawan
Shivnarine Chanderpaul
Shreyas Iyer
Shoaib Akhtar
Sourav Ganguly
Sourav Ganguly
Steve Smith
Steve Waugh
Stuart Broad
Sunil Gavaskar
Suryakumar Yadav
T Natarajan
Tillakaratne Dilshan
Umar Akmal
Umesh Yadav
Usman Khawaja
Varun Chakravarthy
Venkatesh Iyer
Vernon Philander
VVS Laxman
VVS Laxman
Virat Kohli
Virat Kohli
Vivian Richards
Waqar Younis
Washington Sundar
Wasim Akram
Wasim Akram
Yuvraj Singh
Yuvraj Singh
Yuzvendra Chahal
Zaheer Khan
Zaheer Khan
